gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1280,65536,1536,ck,13,0,180.0387,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1431.35,1501.91,0.0
gfx950,256,1344,768,7168,ck,17,0,21.6757,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,682.68,793.66,0.0
gfx950,256,1344,2048,7168,asm,4,1,38.7934,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1017.18,768.66,0.0
gfx950,256,1344,6144,7168,ck,13,0,82.2982,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1438.43,852.86,0.0
gfx950,256,1344,7168,384,ck,9,0,14.2723,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,518.4,1579.02,0.0
gfx950,256,1344,7168,768,flydsl,130,0,18.8585,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_1x1x0x8x0,784.66,1368.34,0.0
gfx950,256,1344,7168,3072,cktile,28,0,47.3643,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1249.68,958.88,0.0
gfx950,256,1344,7168,7168,cktile,28,0,88.0382,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1568.75,911.9,0.0
gfx950,256,1344,7168,16384,cktile,28,0,177.456,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1778.92,894.47,0.0
gfx950,256,1344,65536,1536,ck,13,0,201.4057,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1343.47,1384.71,0.0
gfx950,256,1408,768,7168,ck,11,0,28.2316,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,549.11,629.09,0.0
gfx950,256,1408,2048,7168,asm,4,1,40.4834,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1021.14,754.38,0.0
gfx950,256,1408,6144,7168,cktile,28,0,87.0945,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1423.94,820.19,0.0
gfx950,256,1408,7168,384,ck,9,0,14.6469,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,529.2,1602.95,0.0
gfx950,256,1408,7168,768,flydsl,58,0,19.2701,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,804.47,1389.27,0.0
gfx950,256,1408,7168,3072,cktile,29,0,48.7357,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1272.34,954.75,0.0
gfx950,256,1408,7168,7168,cktile,28,0,89.9503,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1608.52,907.81,0.0
gfx950,256,1408,7168,16384,cktile,11,0,179.7188,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1840.17,894.14,0.0
gfx950,256,1408,65536,1536,ck,13,0,201.7593,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1404.98,1424.35,0.0
gfx950,256,1440,768,7168,asm,25,2,24.1811,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,655.66,745.99,0.0
gfx950,256,1440,7168,384,flydsl,129,0,12.7928,flydsl_blockscale_bpreshuffle_32x256x128_sbk128_1x1x0x8x0,619.66,1872.09,0.0
gfx950,256,1472,768,7168,ck,17,0,28.5916,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,566.84,640.65,0.0
gfx950,256,1472,2048,7168,asm,4,1,40.8826,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1057.13,764.64,0.0
gfx950,256,1472,6144,7168,cktile,29,0,87.2862,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1485.39,832.66,0.0
gfx950,256,1472,7168,384,ck,9,0,15.1377,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,535.31,1613.21,0.0
gfx950,256,1472,7168,768,flydsl,58,0,21.6161,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,749.76,1283.22,0.0
gfx950,256,1472,7168,3072,cktile,28,0,48.5541,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1335.15,981.27,0.0
gfx950,256,1472,7168,7168,cktile,29,0,89.6557,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1687.16,926.14,0.0
gfx950,256,1472,7168,16384,cktile,28,0,179.5078,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1926.07,906.15,0.0
gfx950,256,1472,65536,1536,ck,13,0,208.785,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1419.42,1417.07,0.0
gfx950,256,1536,768,7168,ck,11,0,28.4924,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,593.54,662.44,0.0
gfx950,256,1536,2048,7168,asm,4,1,40.293,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1119.23,793.73,0.0
gfx950,256,1536,6144,7168,cktile,29,0,87.2706,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1550.25,847.07,0.0
gfx950,256,1536,7168,384,ck,9,0,15.7955,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,535.32,1605.67,0.0
gfx950,256,1536,7168,768,flydsl,58,0,21.0021,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,805.23,1366.76,0.0
gfx950,256,1536,7168,3072,cktile,28,0,48.3445,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1399.24,1008.57,0.0
gfx950,256,1536,7168,7168,cktile,11,0,89.8275,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1757.15,939.69,0.0
gfx950,256,1536,7168,16384,cktile,11,0,180.0393,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2003.88,914.39,0.0
gfx950,256,1536,65536,1536,ck,13,0,211.5295,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1461.91,1438.8,0.0
gfx950,256,1600,768,7168,ck,11,0,28.9544,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,608.41,671.1,0.0
gfx950,256,1600,2048,7168,ck,14,0,45.3446,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1035.98,721.2,0.0001
gfx950,256,1600,6144,7168,cktile,11,0,88.2254,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1597.37,852.02,0.0
gfx950,256,1600,7168,384,ck,9,0,16.0454,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,548.94,1639.38,0.0
gfx950,256,1600,7168,768,flydsl,58,0,22.2347,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,792.28,1334.46,0.0
gfx950,256,1600,7168,3072,cktile,28,0,49.5047,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1423.39,1007.44,0.0
gfx950,256,1600,7168,7168,cktile,29,0,92.4801,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1777.86,927.62,0.0
gfx950,256,1600,7168,16384,cktile,27,0,182.6633,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,2057.39,912.02,0.0
gfx950,256,1600,65536,1536,ck,13,0,226.4383,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1422.56,1381.55,0.0
gfx950,256,1664,768,7168,ck,11,0,28.9792,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,632.2,689.75,0.0
gfx950,256,1664,2048,7168,ck,14,0,45.6554,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1070.09,732.08,0.0001
gfx950,256,1664,6144,7168,cktile,11,0,88.895,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1648.75,859.61,0.0
gfx950,256,1664,7168,384,ck,9,0,16.4508,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,556.83,1656.25,0.0
gfx950,256,1664,7168,768,flydsl,58,0,22.1362,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,827.64,1384.07,0.0
gfx950,256,1664,7168,3072,cktile,27,0,49.5209,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1479.84,1029.61,0.0
gfx950,256,1664,7168,7168,cktile,27,0,91.9074,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1860.5,948.38,0.0
gfx950,256,1664,7168,16384,cktile,11,0,183.5933,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,2128.85,918.11,0.0
gfx950,256,1664,65536,1536,ck,13,0,227.4956,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1472.59,1412.44,0.0
gfx950,256,1696,768,7168,asm,33,2,28.0113,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,666.63,723.53,0.0
gfx950,256,1696,7168,384,flydsl,341,0,15.4246,flydsl_blockscale_bpreshuffle_64x256x128_sbk128_0x1x2x8x0,605.3,1796.98,0.0
gfx950,256,1728,768,7168,ck,11,0,28.8859,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,658.64,711.27,0.0
gfx950,256,1728,2048,7168,ck,14,0,44.3914,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1142.89,769.16,0.0001
gfx950,256,1728,6144,7168,cktile,29,0,89.5599,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,1699.45,867.13,0.0
gfx950,256,1728,7168,384,ck,9,0,16.71,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,569.28,1686.93,0.0
gfx950,256,1728,7168,768,flydsl,58,0,22.5414,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_0x1x0x8x0,844.02,1402.08,0.0
gfx950,256,1728,7168,3072,cktile,27,0,50.1365,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1517.89,1039.19,0.0
gfx950,256,1728,7168,7168,cktile,28,0,91.8376,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1933.52,964.08,0.0
gfx950,256,1728,7168,16384,cktile,29,0,183.7145,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,2209.27,928.2,0.0
gfx950,256,1728,65536,1536,ck,13,0,235.3912,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1477.93,1401.11,0.0
gfx950,256,1792,768,7168,ck,11,0,29.2369,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,674.83,721.78,0.0
gfx950,256,1792,2048,7168,ck,14,0,45.7518,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1149.97,762.05,0.0002
gfx950,256,1792,6144,7168,cktile,27,0,91.7836,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1719.7,859.69,0.0
gfx950,256,1792,7168,384,ck,9,0,17.4433,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,565.55,1670.03,0.0
gfx950,256,1792,7168,768,flydsl,405,0,24.3779,flydsl_blockscale_bpreshuffle_64x256x128_sbk128_1x1x2x8x0,809.34,1336.1,0.0
gfx950,256,1792,7168,3072,ck,13,0,63.9672,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1233.76,831.91,0.0
gfx950,256,1792,7168,7168,ck,13,0,127.9586,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1439.11,702.69,0.0
gfx950,256,1792,7168,16384,ck,13,0,273.4337,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1539.34,630.83,0.0
gfx950,256,1792,8192,1536,ck,14,0,41.6097,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1083.81,1074.16,0.0003
gfx950,256,1792,65536,1536,ck,13,0,242.8714,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1485.47,1392.91,0.0
gfx950,256,1856,768,7168,ck,17,0,29.5228,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,692.17,733.66,0.0
gfx950,256,1856,2048,7168,asm,5,1,48.5511,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1122.37,732.96,0.0
gfx950,256,1856,6144,7168,cktile,11,0,91.1191,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1794.1,879.62,0.0
gfx950,256,1856,7168,384,ck,9,0,17.56,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,581.85,1712.58,0.0
gfx950,256,1856,7168,768,flydsl,130,0,24.9953,flydsl_blockscale_bpreshuffle_64x128x128_sbk128_1x1x0x8x0,817.54,1341.77,0.0
gfx950,256,1856,7168,3072,ck,14,0,65.4214,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1249.42,830.45,0.0003
gfx950,256,1856,7168,7168,ck,14,0,138.8947,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1373.15,657.27,0.0002
gfx950,256,1856,7168,16384,ck,0,0,283.6719,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1536.77,615.0,0.0
gfx950,256,1856,65536,1536,ck,13,0,263.9332,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1415.75,1313.91,0.0
gfx950,256,1888,768,7168,asm,33,2,29.3214,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,708.94,748.2,0.0
gfx950,256,1888,7168,384,flydsl,131,0,15.9266,flydsl_blockscale_bpreshuffle_64x256x128_sbk128_1x1x0x8x0,652.59,1917.79,0.0
gfx950,256,1920,768,7168,asm,1,1,29.8089,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,709.16,745.3,0.0
gfx950,256,1920,2048,7168,ck,14,0,48.5047,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1162.19,748.52,0.0001
gfx950,256,1920,6144,7168,cktile,28,0,90.924,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1859.95,895.21,0.0
gfx950,256,1920,7168,384,ck,9,0,18.6074,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,568.03,1666.81,0.0
gfx950,256,1920,7168,768,flydsl,348,0,25.3971,flydsl_blockscale_bpreshuffle_64x256x128_sbk128_0x1x2x8x1,832.35,1358.61,0.0
gfx950,256,1920,7168,3072,ck,13,0,66.0434,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1280.33,839.5,0.0
gfx950,256,1920,7168,7168,ck,0,0,137.9438,a8w8_blockscale_bpreshuffle_1x128x128_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v3,1430.29,671.78,0.0
gfx950,256,1920,7168,16384,ck,13,0,287.7806,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1567.07,613.05,0.0
gfx950,256,1920,65536,1536,ck,13,0,278.5861,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1387.53,1275.26,0.0
gfx950,256,1984,768,7168,asm,1,1,30.0462,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,727.01,757.96,0.0
gfx950,256,1984,2048,7168,asm,5,1,49.7611,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,1170.6,744.11,0.0
gfx950,256,1984,6144,7168,ck,13,0,121.8121,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1434.6,678.43,0.0
gfx950,256,1984,7168,384,ck,9,0,19.0684,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,572.78,1675.91,0.0
gfx950,256,1984,7168,768,flydsl,410,0,26.7,flydsl_blockscale_bpreshuffle_32x256x128_sbk128_1x1x2x8x1,818.12,1328.52,0.0
gfx950,256,1984,7168,3072,ck,13,0,68.9374,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1267.46,820.42,0.0
gfx950,256,1984,7168,7168,ck,13,0,137.5165,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1482.56,683.88,0.0
gfx950,256,1984,7168,16384,ck,13,0,282.1276,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1651.75,632.3,0.0
gfx950,256,1984,65536,1536,ck,13,0,286.1291,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1395.99,1271.31,0.0
